word1-translated	word2-translated	POS
پرانا	نئی	A
ہوشیار	ذہین	A
سخت	مشکل	A
خوش ہوں	خوشگوار	A
سخت	آسان	A
تیز	تیز رفتار	A
خوش ہوں	خوش ہوں	A
مختصر	طویل	A
بیوقوف	گونگا	A
عجیب	عجیب	A
وسیع	تنگ	A
برا	خوفناک	A
آسان	مشکل	A
برا	خوفناک	A
سخت	سادہ	A
ہوشیار	گونگا	A
پاگل	پاگل	A
خوش ہوں	پاگل	A
بڑی	بہت بڑا	A
سخت	مشکل	A
نئی	تازه	A
تیز	سست	A
فوری	تیز رفتار	A
گونگا	بیوقوف	A
حیرت انگیز	خوفناک	A
عجیب	طاق	A
خوش ہوں	ناراض	A
تنگ	وسیع	A
سادہ	آسان	A
پرانا	تازه	A
واضح	واضح 	A
سستی	سستا	A
اچھا	بے لوث	A
عجیب	عام	A
عجیب	طاق	A
برا	غیر اخلاقی	A
اداس	مضحکہ خیز	A
حیرت انگیز	زبردست	A
مجرم	شرمندہ	A
خوبصورت	حیرت انگیز	A
اعتماد	یقیناً	A
گونگا	گھنے	A
بڑی	بڑا	A
اچھا	ظالمانہ	A
بے حد	فکر مند	A
بڑا	وسیع	A
مضبوط	مغرور	A
غیر ضروری	ضروری 	A
بے حد	نوجوان	A
گونگا	ذہین	A
برا	زبردست	A
مشکل	سادہ	A
ضروری 	اہم 	A
برا	خوفناک	A
پاگل	خوش	A
ایماندار	مجرم	A
آسان	مشکل	A
آسان	لچکدار	A
کچھ	یقین ہے	A
ضروری	ضروری	A
مختلف	عام	A
مہلک	ہوشیار	A
اہم	اہم	A
سخت	ظالمانہ	A
بچپن	بیوقوف	A
کمر	نایاب	A
دوستانہ	بے لوث	A
خراب	فریب	A
طویل	تنگ	A
بڑا	بھاری	A
کهردرا	فریب	A
عجیب	عجیب	A
غیر قانونی	غیر اخلاقی	A
برا	مجرم	A
جدید	قدیم	A
نئی	قدیم	A
سست	مضحکہ خیز	A
خوش	نوجوان	A
آسان	بڑا	A
زبردست	خوفناک	A
چھوٹے	بہت بڑا	A
شائستہ	مناسب	A
معمولی	شرمندہ	A
غیر ملکی	نایاب	A
گونگا	ہوشیار	A
خوشگوار	حیرت انگیز	A
قابل ذکر	واضح	A
ڈر	فکر مند	A
رسمی	مناسب	A
ڈریری	سست	A
خوشگوار	خوشگوار	A
ناخوش	پاگل	A
اداس	خوفناک	A
بیمار	پاگل	A
پرتشدد	ناراض	A
لادن	بھاری	A
گندی	سستا	A
لچکدار	لچکدار	A
سخت	گھنے	A
حال ہی میں	نئی	A
جرات مندانہ	فخر	A
مہلک	عجیب	A
عجیب	مہلک	A
گونگا	نایاب	A
مہلک	مشکل	A
خوفناک	پاگل	A
معمولی	لچکدار	A
تازه	وسیع	A
بہت بڑا	گونگا	A
بڑی	لچکدار	A
گندی	تنگ	A
بیوی	شوہر	N
کتاب	متن	N
دولہا	دلہن	N
رات	دن	N
جنوب	شمال	N
ہوائی جہاز	ہوائی اڈے	N
چاچا	چاچی	N
گھوڑے	ہمارا	N
نیچے	اوپر	N
دوست	دوست	N
طالب علم	طالب علم	N
دنیا	دنیا	N
ٹانگ	بازو	N
ہوائی جہاز	جیٹ	N
عورت	آدمی	N
گھوڑے	کالٹ	N
اداکارہ	اداکار	N
استاد	انسٹرکٹر	N
فلم	فلم	N
پرندہ	ہاک	N
لفظ	لغت	N
پیسہ	تنخواہ	N
کتا	کیٹ	N
رقبہ	خطے	N
بحریہ	فوج	N
کتاب	ادب	N
کپڑے	الماری	N
غروب آفتاب	طلوع آفتاب	N
بچہ	بالغ	N
گائے	مویشیوں	N
کتاب	کہانی	N
موسم سرما	موسم گرما	N
ٹیکسی	ٹیکسی	N
درخت	میپل	N
بستر	بیڈروم	N
چھت	چھت	N
بیماری	انفیکشن	N
بازو	کندھے	N
بھیڑ	میمنے	N
خاتون	سلیمان	N
کشتی	لنگر	N
پادری	بندر	N
پیر	انگلی	N
دریا	ندی	N
غصہ	غصہ	N
تاریخ	کیلنڈر	N
سمندر	سمندر	N
دوسرا	منٹ	N
ہاتھ	انگوٹھے	N
لکڑی	لاگ ان	N
مٹی	گندگی	N
دالان	راہداری	N
راستہ	انداز	N
ماؤس	کیٹ	N
پولیس	شیرف	N
موت	دفن	N
موسیقی	مہودی	N
بیئر	شراب	N
منہ	ہپ	N
طوفان	طوفان	N
ٹیکس	آمدنی	N
پھول	وایلیٹ	N
کاغذ	گتے	N
فرش	چھت	N
ساحل سمندر	سمندر	N
چھڑی	پردے	N
ہاؤنڈ	لومڑی	N
سڑک	گلی	N
کشتی	ڈیک	N
کار	سینگ	N
دوست	مہمان	N
آجر	ملازم	N
ہاتھ	کلائی	N
گیند	تپ	N
شراب	برینڈی	N
فتح	فتح	N
ٹیلی فون	بوٹ	N
دروازہ	راہ گزر	N
موٹل	سرائے	N
کپڑے	کپڑا	N
سٹیک	گوشت	N
کیل	انگوٹھے	N
بینڈ	آرکسٹرا	N
کتاب	بائبل	N
کاروبار	صنعت	N
موسم سرما	موسم	N
دہائی	صدی	N
شراب	گن	N
ٹوپی	کوٹ	N
ونڈو	دروازہ	N
بازو	کلائی	N
گھر	اپارٹمنٹ	N
گلاس	کرسٹل	N
شراب	برینڈی	N
خالق	بنانے والا	N
رات کا کھانا	ناشتہ	N
بازو	پٹھوں	N
بلبلا	سوڈ	N
روٹی	آٹا	N
موت	سانحہ	N
عدم موجودگی	موجودگی	N
بندوق	تپ	N
گھاس	بلیڈ	N
گیند	ٹوکری	N
نلی	باغ	N
لڑکا	بچہ	N
چرچ	کوائر	N
کپڑے	دراج	N
ٹاور	گھنٹی	N
باپ	والدین	N
اسکول	گریڈ	N
والدین	بالغ	N
بار	جیل	N
کار	ہائی وے	N
لغت	تعریف	N
دروازہ	سیلار	N
فوج	بڑا لشکر	N
دھاتی	ایلومینیم	N
کرسی	بینچ	N
بادل	دھند	N
لڑکا	بیٹا	N
پانی	برف	N
بستر	کمبل	N
اٹارنی	وکیل	N
رقبہ	زون	N
کاروبار	کمپنی	N
کپڑے	کپڑے	N
سویٹر	جیکٹ	N
پیسہ	دارالحکومت	N
ہاتھ	پاؤں	N
شراب	کاکلا	N
یارڈ	انچ	N
انو	ایٹم	N
لینس	کیمرے	N
کھانا	رات کا کھانا	N
آنکھ	آنسو	N
خدا	شیطان	N
لوپ	بیلٹ	N
چوہا	ماؤس	N
موٹر	انجن	N
کار	ٹیکسی	N
کیٹ	شیر	N
سائز	شدت	N
حقیقت	تصور	N
دروازہ	دروازہ	N
کیٹ	پالتو جانور	N
ٹن	ایلومینیم	N
ہڈی	جبڑے	N
اناج	گندم	N
گھر	کلیدی	N
خون	گوشت	N
دروازہ	راہداری	N
خدا	روح	N
صلاحیت	صلاحیت	N
کثرت	کافی	N
سوفا	کرسی	N
دیوار	اینٹوں	N
سینگ	ڈھول	N
عضو	جگر	N
طاقت	شاید	N
جملہ	لفظ	N
بینڈ	پریڈ	N
پیٹ	کمر	N
بادل	طوفان	N
خوشی	فخر	N
شور	گھبراہٹ	N
بارش	دوبد	N
بیئر	مشروبات	N
آدمی	چاچا	N
سیب	رس	N
انٹیلی جنس	منطق	N
مواصلات	زبان	N
منک	فر	N
موک	بھیڑ	N
ساحل	ساحل	N
تار	ہڈی	N
پرندہ	ترکی	N
بستر	کیڑے	N
صلاحیت	صلاحیت	N
بادل	بھولبلییا	N
کھانا	کھانا	N
بار	پنجرا	N
پانی	نمک	N
احساس	انضمام	N
صورت حال	حالت	N
جرم	چوری	N
انداز	فیشن	N
حد	سرحد	N
بازو	جسم	N
کشتی	کار	N
سینڈوچ	دوپہر کا کھانا	N
دلہن	شہزادی	N
نایکا	ہیرو	N
کار	گیج	N
کیڑے	مکھی	N
کٹیا	جھولا	N
جانور	شخص	N
ماریجوانا	جڑی بوٹی	N
بستر	ہسپتال	N
گال	زبان	N
ڈسک	کمپیوٹر	N
وکر	زاویہ	N
گھاس	ماں	N
اسکول	قانون	N
پاؤں	سر	N
ماں	سرپرست	N
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	N
شراب	شراب	N
منہ	دانت	N
ناشتہ	بیکن	N
باتھ روم	بیڈروم	N
پلیٹ	کٹورا	N
گوشت	بیکن	N
ہوا	ہیلیم	N
کارکن	آجر	N
جسم	سینے	N
بیٹا	باپ	N
دل	سرجری	N
عورت	سیکرٹری	N
آدمی	باپ	N
ساحل سمندر	جزیرہ	N
کہانی	موضوع	N
کھیل	مزہ	N
ہفتے کے آخر	ہفتے	N
جوڑے	جوڑی	N
عورت	بیوی	N
بھیڑ	مویشیوں	N
پرس	بیگ	N
چھت	گرجا گھر	N
بین	کافی	N
لکڑی	کاغذ	N
اوپر	طرف	N
جرم	دھوکہ	N
درد	نقصان	N
عاشق	ساتھی	N
شام	دوپہر	N
باپ	بیٹی	N
شراب	شراب	N
گائے	بکری	N
یقین	رائے	N
حقیقت	برم	N
معاہدہ	معاہدہ	N
دولت	غربت	N
حادثہ	ایمرجنسی	N
جنگ	فتح	N
دوست	استاد	N
بیماری	انفیکشن	N
کھیل	چال	N
بھائی	بیٹا	N
چاچی	بھتیجے	N
کارکن	میکینک	N
ڈاکٹر	آرتھوڈونٹسٹ	N
