word1-translated	word2-translated	SD(SimLex)
پرانا	نئی	0.41
ہوشیار	ذہین	0.67
سخت	مشکل	1.19
خوش ہوں	خوشگوار	2.18
سخت	آسان	0.93
تیز	تیز رفتار	1.68
خوش ہوں	خوش ہوں	1.59
مختصر	طویل	1.58
بیوقوف	گونگا	1.48
عجیب	عجیب	1.3
وسیع	تنگ	0.58
برا	خوفناک	1.74
آسان	مشکل	0.36
برا	خوفناک	1.43
سخت	سادہ	1.03
ہوشیار	گونگا	0.47
پاگل	پاگل	0.92
خوش ہوں	پاگل	1.4
بڑی	بہت بڑا	1.27
سخت	مشکل	1.18
نئی	تازه	1.2
تیز	سست	1.39
فوری	تیز رفتار	1.14
گونگا	بیوقوف	1.36
حیرت انگیز	خوفناک	1.63
عجیب	طاق	1.04
خوش ہوں	ناراض	1.41
تنگ	وسیع	1.18
سادہ	آسان	1.51
پرانا	تازه	1.64
واضح	واضح 	1.52
سستی	سستا	0.81
اچھا	بے لوث	1.14
عجیب	عام	1.15
عجیب	طاق	1.27
برا	غیر اخلاقی	0.98
اداس	مضحکہ خیز	1.28
حیرت انگیز	زبردست	1.05
مجرم	شرمندہ	0.47
خوبصورت	حیرت انگیز	0.85
اعتماد	یقیناً	1.21
گونگا	گھنے	0.43
بڑی	بڑا	0.44
اچھا	ظالمانہ	1.53
بے حد	فکر مند	1.22
بڑا	وسیع	1.68
مضبوط	مغرور	1.46
غیر ضروری	ضروری 	0.61
بے حد	نوجوان	0.85
گونگا	ذہین	1.5
برا	زبردست	1.49
مشکل	سادہ	0.44
ضروری 	اہم 	1.36
برا	خوفناک	1.43
پاگل	خوش	1.17
ایماندار	مجرم	1.68
آسان	مشکل	1.87
آسان	لچکدار	1.08
کچھ	یقین ہے	1.29
ضروری	ضروری	1.11
مختلف	عام	1.75
مہلک	ہوشیار	1.41
اہم	اہم	1.25
سخت	ظالمانہ	1.66
بچپن	بیوقوف	1.45
کمر	نایاب	1.21
دوستانہ	بے لوث	0.6
خراب	فریب	0.84
طویل	تنگ	1.62
بڑا	بھاری	1.54
کهردرا	فریب	1.37
عجیب	عجیب	1.54
غیر قانونی	غیر اخلاقی	1.57
برا	مجرم	1.47
جدید	قدیم	0.71
نئی	قدیم	0.46
سست	مضحکہ خیز	1.76
خوش	نوجوان	0.47
آسان	بڑا	1.22
زبردست	خوفناک	1.53
چھوٹے	بہت بڑا	0.59
شائستہ	مناسب	1.42
معمولی	شرمندہ	1.0
غیر ملکی	نایاب	0.93
گونگا	ہوشیار	1.3
خوشگوار	حیرت انگیز	1.29
قابل ذکر	واضح	1.69
ڈر	فکر مند	1.28
رسمی	مناسب	1.31
ڈریری	سست	1.85
خوشگوار	خوشگوار	1.56
ناخوش	پاگل	1.36
اداس	خوفناک	0.44
بیمار	پاگل	0.95
پرتشدد	ناراض	1.55
لادن	بھاری	1.28
گندی	سستا	1.1
لچکدار	لچکدار	1.09
سخت	گھنے	1.0
حال ہی میں	نئی	1.05
جرات مندانہ	فخر	1.36
مہلک	عجیب	1.07
عجیب	مہلک	0.51
گونگا	نایاب	1.55
مہلک	مشکل	1.01
خوفناک	پاگل	0.86
معمولی	لچکدار	1.89
تازه	وسیع	1.41
بہت بڑا	گونگا	0.91
بڑی	لچکدار	1.59
گندی	تنگ	0.89
بیوی	شوہر	0.84
کتاب	متن	1.43
دولہا	دلہن	0.68
رات	دن	1.17
جنوب	شمال	0.59
ہوائی جہاز	ہوائی اڈے	1.07
چاچا	چاچی	1.63
گھوڑے	ہمارا	0.73
نیچے	اوپر	1.16
دوست	دوست	0.93
طالب علم	طالب علم	1.11
دنیا	دنیا	0.67
ٹانگ	بازو	0.79
ہوائی جہاز	جیٹ	1.24
عورت	آدمی	1.42
گھوڑے	کالٹ	0.84
اداکارہ	اداکار	1.3
استاد	انسٹرکٹر	1.53
فلم	فلم	1.72
پرندہ	ہاک	0.91
لفظ	لغت	1.56
پیسہ	تنخواہ	1.11
کتا	کیٹ	1.3
رقبہ	خطے	0.58
بحریہ	فوج	0.53
کتاب	ادب	0.45
کپڑے	الماری	1.29
غروب آفتاب	طلوع آفتاب	1.12
بچہ	بالغ	1.48
گائے	مویشیوں	0.79
کتاب	کہانی	0.78
موسم سرما	موسم گرما	0.47
ٹیکسی	ٹیکسی	1.23
درخت	میپل	1.19
بستر	بیڈروم	1.25
چھت	چھت	0.77
بیماری	انفیکشن	1.08
بازو	کندھے	1.81
بھیڑ	میمنے	1.51
خاتون	سلیمان	1.08
کشتی	لنگر	1.1
پادری	بندر	0.61
پیر	انگلی	0.55
دریا	ندی	0.81
