word1-translated	word2-translated	SimAssoc333
پرانا	نئی	1
ہوشیار	ذہین	1
سخت	مشکل	1
خوش ہوں	خوشگوار	1
سخت	آسان	1
تیز	تیز رفتار	1
خوش ہوں	خوش ہوں	1
مختصر	طویل	1
بیوقوف	گونگا	1
عجیب	عجیب	1
وسیع	تنگ	1
برا	خوفناک	1
آسان	مشکل	1
برا	خوفناک	1
سخت	سادہ	1
ہوشیار	گونگا	1
پاگل	پاگل	1
خوش ہوں	پاگل	1
بڑی	بہت بڑا	1
سخت	مشکل	1
نئی	تازه	1
تیز	سست	1
فوری	تیز رفتار	1
گونگا	بیوقوف	1
حیرت انگیز	خوفناک	1
عجیب	طاق	1
خوش ہوں	ناراض	1
تنگ	وسیع	1
سادہ	آسان	1
پرانا	تازه	1
واضح	واضح 	1
سستی	سستا	1
اچھا	بے لوث	1
عجیب	عام	1
عجیب	طاق	1
برا	غیر اخلاقی	1
اداس	مضحکہ خیز	1
حیرت انگیز	زبردست	1
مجرم	شرمندہ	1
خوبصورت	حیرت انگیز	1
اعتماد	یقیناً	1
گونگا	گھنے	1
بڑی	بڑا	1
اچھا	ظالمانہ	1
بے حد	فکر مند	1
بڑا	وسیع	1
مضبوط	مغرور	0
غیر ضروری	ضروری 	0
بے حد	نوجوان	0
گونگا	ذہین	0
برا	زبردست	0
مشکل	سادہ	0
ضروری 	اہم 	0
برا	خوفناک	0
پاگل	خوش	0
ایماندار	مجرم	0
آسان	مشکل	0
آسان	لچکدار	0
کچھ	یقین ہے	0
ضروری	ضروری	0
مختلف	عام	0
مہلک	ہوشیار	0
اہم	اہم	0
سخت	ظالمانہ	0
بچپن	بیوقوف	0
کمر	نایاب	0
دوستانہ	بے لوث	0
خراب	فریب	0
طویل	تنگ	0
بڑا	بھاری	0
کهردرا	فریب	0
عجیب	عجیب	0
غیر قانونی	غیر اخلاقی	0
برا	مجرم	0
جدید	قدیم	0
نئی	قدیم	0
سست	مضحکہ خیز	0
خوش	نوجوان	0
آسان	بڑا	0
زبردست	خوفناک	0
چھوٹے	بہت بڑا	0
شائستہ	مناسب	0
معمولی	شرمندہ	0
غیر ملکی	نایاب	0
گونگا	ہوشیار	0
خوشگوار	حیرت انگیز	0
قابل ذکر	واضح	0
ڈر	فکر مند	0
رسمی	مناسب	0
ڈریری	سست	0
خوشگوار	خوشگوار	0
ناخوش	پاگل	0
اداس	خوفناک	0
بیمار	پاگل	0
پرتشدد	ناراض	0
لادن	بھاری	0
گندی	سستا	0
لچکدار	لچکدار	0
سخت	گھنے	0
حال ہی میں	نئی	0
جرات مندانہ	فخر	0
مہلک	عجیب	0
عجیب	مہلک	0
گونگا	نایاب	0
مہلک	مشکل	0
خوفناک	پاگل	0
