word1-translated	word2-translated	conc(w2)
پرانا	نئی	2.81
ہوشیار	ذہین	2.46
سخت	مشکل	2.21
خوش ہوں	خوشگوار	2.34
سخت	آسان	2.07
تیز	تیز رفتار	3.07
خوش ہوں	خوش ہوں	2.36
مختصر	طویل	3.18
بیوقوف	گونگا	2.36
عجیب	عجیب	1.86
وسیع	تنگ	3.04
برا	خوفناک	1.92
آسان	مشکل	2.21
برا	خوفناک	2.04
سخت	سادہ	1.62
ہوشیار	گونگا	2.36
پاگل	پاگل	2.37
خوش ہوں	پاگل	2.76
بڑی	بہت بڑا	3.54
سخت	مشکل	2.5
نئی	تازه	1.97
تیز	سست	2.37
فوری	تیز رفتار	3.07
گونگا	بیوقوف	1.84
حیرت انگیز	خوفناک	2.07
عجیب	طاق	1.7
خوش ہوں	ناراض	2.53
تنگ	وسیع	2.45
سادہ	آسان	2.07
پرانا	تازه	1.97
واضح	واضح 	2.07
سستی	سستا	2.11
اچھا	بے لوث	2.25
عجیب	عام	1.4
عجیب	طاق	1.7
برا	غیر اخلاقی	1.59
اداس	مضحکہ خیز	2.5
حیرت انگیز	زبردست	1.81
مجرم	شرمندہ	1.74
خوبصورت	حیرت انگیز	1.82
اعتماد	یقیناً	1.73
گونگا	گھنے	3.14
بڑی	بڑا	3.66
اچھا	ظالمانہ	2.11
بے حد	فکر مند	1.68
بڑا	وسیع	2.45
مضبوط	مغرور	2.07
غیر ضروری	ضروری 	1.8
بے حد	نوجوان	3.16
گونگا	ذہین	2.46
برا	زبردست	1.81
مشکل	سادہ	1.62
ضروری 	اہم 	2.14
برا	خوفناک	2.07
پاگل	خوش	2.36
ایماندار	مجرم	2.36
آسان	مشکل	2.5
آسان	لچکدار	2.64
کچھ	یقین ہے	1.73
ضروری	ضروری	1.8
مختلف	عام	1.4
مہلک	ہوشیار	1.79
اہم	اہم	2.14
سخت	ظالمانہ	2.11
بچپن	بیوقوف	1.84
کمر	نایاب	1.96
دوستانہ	بے لوث	2.25
خراب	فریب	3.28
طویل	تنگ	3.04
بڑا	بھاری	3.37
کهردرا	فریب	3.28
عجیب	عجیب	1.86
غیر قانونی	غیر اخلاقی	1.59
برا	مجرم	2.36
جدید	قدیم	2.04
نئی	قدیم	2.04
سست	مضحکہ خیز	2.5
خوش	نوجوان	3.16
آسان	بڑا	3.66
زبردست	خوفناک	1.92
چھوٹے	بہت بڑا	3.54
شائستہ	مناسب	1.78
معمولی	شرمندہ	1.74
غیر ملکی	نایاب	1.96
گونگا	ہوشیار	1.79
خوشگوار	حیرت انگیز	1.82
قابل ذکر	واضح	2.07
ڈر	فکر مند	1.68
رسمی	مناسب	1.78
ڈریری	سست	2.37
خوشگوار	خوشگوار	2.34
ناخوش	پاگل	2.76
اداس	خوفناک	2.04
بیمار	پاگل	2.37
پرتشدد	ناراض	2.53
لادن	بھاری	3.37
گندی	سستا	2.11
لچکدار	لچکدار	2.64
سخت	گھنے	3.14
حال ہی میں	نئی	2.81
جرات مندانہ	فخر	2.07
مہلک	عجیب	1.86
عجیب	مہلک	2.03
گونگا	نایاب	1.96
مہلک	مشکل	2.5
خوفناک	پاگل	2.76
معمولی	لچکدار	2.64
تازه	وسیع	3.06
بہت بڑا	گونگا	2.36
بڑی	لچکدار	2.64
گندی	تنگ	3.04
بیوی	شوہر	4.11
کتاب	متن	4.93
دولہا	دلہن	4.63
رات	دن	3.92
جنوب	شمال	4.14
ہوائی جہاز	ہوائی اڈے	4.87
چاچا	چاچی	4.17
گھوڑے	ہمارا	4.75
نیچے	اوپر	3.93
دوست	دوست	3.48
طالب علم	طالب علم	4.55
دنیا	دنیا	4.59
