word1-translated	word2-translated	concQ
پرانا	نئی	2
ہوشیار	ذہین	1
سخت	مشکل	2
خوش ہوں	خوشگوار	1
سخت	آسان	2
تیز	تیز رفتار	2
خوش ہوں	خوش ہوں	1
مختصر	طویل	2
بیوقوف	گونگا	1
عجیب	عجیب	1
وسیع	تنگ	2
برا	خوفناک	1
آسان	مشکل	1
برا	خوفناک	1
سخت	سادہ	2
ہوشیار	گونگا	1
پاگل	پاگل	1
خوش ہوں	پاگل	2
بڑی	بہت بڑا	2
سخت	مشکل	2
نئی	تازه	1
تیز	سست	2
فوری	تیز رفتار	2
گونگا	بیوقوف	1
حیرت انگیز	خوفناک	1
عجیب	طاق	1
خوش ہوں	ناراض	1
تنگ	وسیع	2
سادہ	آسان	1
پرانا	تازه	1
واضح	واضح 	1
سستی	سستا	1
اچھا	بے لوث	1
عجیب	عام	1
عجیب	طاق	1
برا	غیر اخلاقی	1
اداس	مضحکہ خیز	2
حیرت انگیز	زبردست	1
مجرم	شرمندہ	1
خوبصورت	حیرت انگیز	1
اعتماد	یقیناً	1
گونگا	گھنے	2
بڑی	بڑا	2
اچھا	ظالمانہ	1
بے حد	فکر مند	1
بڑا	وسیع	2
مضبوط	مغرور	2
غیر ضروری	ضروری 	1
بے حد	نوجوان	2
گونگا	ذہین	1
برا	زبردست	1
مشکل	سادہ	1
ضروری 	اہم 	1
برا	خوفناک	1
پاگل	خوش	1
ایماندار	مجرم	1
آسان	مشکل	1
آسان	لچکدار	1
کچھ	یقین ہے	1
ضروری	ضروری	1
مختلف	عام	1
مہلک	ہوشیار	1
اہم	اہم	1
سخت	ظالمانہ	1
بچپن	بیوقوف	1
کمر	نایاب	1
دوستانہ	بے لوث	1
خراب	فریب	2
طویل	تنگ	2
بڑا	بھاری	2
کهردرا	فریب	2
عجیب	عجیب	1
غیر قانونی	غیر اخلاقی	1
برا	مجرم	1
جدید	قدیم	1
نئی	قدیم	1
سست	مضحکہ خیز	1
خوش	نوجوان	2
آسان	بڑا	2
زبردست	خوفناک	1
چھوٹے	بہت بڑا	2
شائستہ	مناسب	1
معمولی	شرمندہ	1
غیر ملکی	نایاب	1
گونگا	ہوشیار	1
خوشگوار	حیرت انگیز	1
قابل ذکر	واضح	1
ڈر	فکر مند	1
رسمی	مناسب	1
ڈریری	سست	1
خوشگوار	خوشگوار	1
ناخوش	پاگل	1
اداس	خوفناک	1
بیمار	پاگل	2
پرتشدد	ناراض	2
لادن	بھاری	2
گندی	سستا	2
لچکدار	لچکدار	2
سخت	گھنے	2
حال ہی میں	نئی	2
جرات مندانہ	فخر	1
مہلک	عجیب	1
عجیب	مہلک	1
گونگا	نایاب	1
مہلک	مشکل	1
خوفناک	پاگل	1
معمولی	لچکدار	1
تازه	وسیع	1
بہت بڑا	گونگا	2
بڑی	لچکدار	2
گندی	تنگ	2
بیوی	شوہر	3
کتاب	متن	4
دولہا	دلہن	3
رات	دن	3
جنوب	شمال	3
ہوائی جہاز	ہوائی اڈے	4
چاچا	چاچی	3
گھوڑے	ہمارا	4
نیچے	اوپر	3
دوست	دوست	2
طالب علم	طالب علم	3
دنیا	دنیا	3
ٹانگ	بازو	4
ہوائی جہاز	جیٹ	4
عورت	آدمی	3
گھوڑے	کالٹ	4
اداکارہ	اداکار	3
استاد	انسٹرکٹر	3
فلم	فلم	3
پرندہ	ہاک	4
لفظ	لغت	3
پیسہ	تنخواہ	3
کتا	کیٹ	4
رقبہ	خطے	2
بحریہ	فوج	3
کتاب	ادب	3
کپڑے	الماری	4
غروب آفتاب	طلوع آفتاب	3
بچہ	بالغ	3
گائے	مویشیوں	4
کتاب	کہانی	3
موسم سرما	موسم گرما	3
ٹیکسی	ٹیکسی	4
درخت	میپل	3
بستر	بیڈروم	4
چھت	چھت	4
بیماری	انفیکشن	3
بازو	کندھے	4
بھیڑ	میمنے	4
خاتون	سلیمان	3
کشتی	لنگر	4
پادری	بندر	3
پیر	انگلی	4
دریا	ندی	3
غصہ	غصہ	2
تاریخ	کیلنڈر	3
سمندر	سمندر	4
دوسرا	منٹ	2
ہاتھ	انگوٹھے	4
لکڑی	لاگ ان	4
مٹی	گندگی	4
دالان	راہداری	3
راستہ	انداز	1
ماؤس	کیٹ	4
پولیس	شیرف	3
موت	دفن	3
موسیقی	مہودی	3
بیئر	شراب	4
منہ	ہپ	4
طوفان	طوفان	3
ٹیکس	آمدنی	2
پھول	وایلیٹ	4
کاغذ	گتے	4
فرش	چھت	4
ساحل سمندر	سمندر	3
چھڑی	پردے	3
ہاؤنڈ	لومڑی	3
سڑک	گلی	4
کشتی	ڈیک	4
کار	سینگ	4
دوست	مہمان	2
آجر	ملازم	3
ہاتھ	کلائی	4
گیند	تپ	4
شراب	برینڈی	4
فتح	فتح	1
ٹیلی فون	بوٹ	3
دروازہ	راہ گزر	4
موٹل	سرائے	4
کپڑے	کپڑا	4
سٹیک	گوشت	4
کیل	انگوٹھے	4
بینڈ	آرکسٹرا	4
کتاب	بائبل	4
کاروبار	صنعت	2
موسم سرما	موسم	2
دہائی	صدی	2
شراب	گن	3
ٹوپی	کوٹ	4
ونڈو	دروازہ	4
بازو	کلائی	4
گھر	اپارٹمنٹ	4
گلاس	کرسٹل	3
شراب	برینڈی	4
خالق	بنانے والا	2
رات کا کھانا	ناشتہ	3
بازو	پٹھوں	3
بلبلا	سوڈ	3
روٹی	آٹا	4
موت	سانحہ	2
عدم موجودگی	موجودگی	1
بندوق	تپ	4
گھاس	بلیڈ	4
گیند	ٹوکری	4
نلی	باغ	4
لڑکا	بچہ	3
چرچ	کوائر	3
کپڑے	دراج	3
ٹاور	گھنٹی	4
باپ	والدین	3
اسکول	گریڈ	3
والدین	بالغ	3
بار	جیل	4
کار	ہائی وے	4
لغت	تعریف	3
دروازہ	سیلار	4
فوج	بڑا لشکر	2
دھاتی	ایلومینیم	4
کرسی	بینچ	3
بادل	دھند	3
لڑکا	بیٹا	3
پانی	برف	4
بستر	کمبل	4
اٹارنی	وکیل	3
رقبہ	زون	2
کاروبار	کمپنی	3
کپڑے	کپڑے	3
سویٹر	جیکٹ	4
پیسہ	دارالحکومت	3
ہاتھ	پاؤں	4
شراب	کاکلا	3
یارڈ	انچ	3
انو	ایٹم	2
لینس	کیمرے	4
کھانا	رات کا کھانا	3
آنکھ	آنسو	3
خدا	شیطان	2
لوپ	بیلٹ	3
چوہا	ماؤس	4
موٹر	انجن	4
کار	ٹیکسی	4
کیٹ	شیر	4
سائز	شدت	2
حقیقت	تصور	1
دروازہ	دروازہ	4
کیٹ	پالتو جانور	4
ٹن	ایلومینیم	4
ہڈی	جبڑے	4
اناج	گندم	4
گھر	کلیدی	4
خون	گوشت	3
دروازہ	راہداری	4
خدا	روح	1
صلاحیت	صلاحیت	1
کثرت	کافی	1
سوفا	کرسی	4
دیوار	اینٹوں	4
سینگ	ڈھول	4
عضو	جگر	3
طاقت	شاید	2
جملہ	لفظ	2
بینڈ	پریڈ	3
پیٹ	کمر	4
بادل	طوفان	3
خوشی	فخر	1
شور	گھبراہٹ	3
بارش	دوبد	4
بیئر	مشروبات	4
آدمی	چاچا	3
سیب	رس	4
انٹیلی جنس	منطق	1
مواصلات	زبان	2
منک	فر	3
موک	بھیڑ	3
ساحل	ساحل	3
تار	ہڈی	3
پرندہ	ترکی	4
بستر	کیڑے	4
صلاحیت	صلاحیت	1
بادل	بھولبلییا	3
کھانا	کھانا	3
بار	پنجرا	4
پانی	نمک	4
احساس	انضمام	1
صورت حال	حالت	1
جرم	چوری	2
انداز	فیشن	2
حد	سرحد	2
بازو	جسم	4
کشتی	کار	4
سینڈوچ	دوپہر کا کھانا	3
دلہن	شہزادی	3
نایکا	ہیرو	2
کار	گیج	3
کیڑے	مکھی	4
کٹیا	جھولا	4
جانور	شخص	3
ماریجوانا	جڑی بوٹی	3
بستر	ہسپتال	4
گال	زبان	4
ڈسک	کمپیوٹر	4
وکر	زاویہ	3
گھاس	ماں	4
اسکول	قانون	2
پاؤں	سر	4
ماں	سرپرست	3
آرتھوڈونٹسٹ	دانتوں کا ڈاکٹر	3
شراب	شراب	4
منہ	دانت	4
ناشتہ	بیکن	3
باتھ روم	بیڈروم	3
